pre_16_r,pre_16_tot,rrc_16_r,rrc_16_tot,SD,HD
463,1343,419,1225,19.0,119.0
175,566,158,513,19.0,119.0
205,961,170,864,19.0,119.0
70,346,64,313,19.0,119.0
264,1078,234,959,19.0,118.0
192,637,164,553,19.0,118.0
44,227,40,203,26.0,124.0
226,1077,211,909,26.0,123.0
158,813,168,665,26.0,123.0
314,1051,369,883,26.0,123.0
256,1094,297,879,26.0,123.0
145,586,131,490,26.0,120.0
248,1277,259,1127,26.0,123.0
495,1000,512,879,25.0,121.0
632,1221,664,1103,25.0,121.0
83,300,81,255,26.0,123.0
548,970,580,885,25.0,121.0
7,10,7,10,25.0,121.0
529,1048,570,933,25.0,121.0
618,1169,627,1105,25.0,118.0
405,729,402,689,25.0,118.0
545,1563,506,1429,19.0,119.0
272,863,232,774,19.0,119.0
195,781,175,730,19.0,119.0
0,0,0,0,19.0,124.0
23,120,19,106,26.0,124.0
3,16,4,17,26.0,124.0
114,726,97,675,26.0,124.0
201,1083,198,944,26.0,123.0
37,139,36,126,26.0,123.0
253,623,255,557,26.0,123.0
183,490,193,461,26.0,123.0
360,772,370,699,26.0,116.0
425,908,432,836,26.0,116.0
758,1850,787,1712,19.0,116.0
4,136,3,129,19.0,120.0
0,14,0,14,19.0,119.0
79,741,64,697,19.0,120.0
104,333,90,298,19.0,119.0
265,860,234,782,19.0,119.0
248,1375,230,1271,19.0,120.0
5,28,6,29,26.0,120.0
95,625,81,556,26.0,124.0
381,1053,365,943,26.0,123.0
552,1034,606,945,25.0,121.0
146,813,142,734,26.0,123.0
89,397,75,343,26.0,116.0
83,422,86,388,26.0,123.0
987,2493,1023,2257,26.0,116.0
1066,1880,1064,1738,25.0,121.0
80,927,71,862,19.0,120.0
57,213,51,191,26.0,120.0
48,146,42,130,19.0,120.0
89,730,71,677,19.0,120.0
481,1716,438,1590,19.0,120.0
16,69,15,65,19.0,120.0
0,0,0,0,26.0,120.0
279,816,239,735,19.0,124.0
425,1326,385,1193,19.0,117.0
202,830,191,753,19.0,117.0
195,940,179,874,26.0,123.0
181,677,165,610,26.0,123.0
78,141,85,124,26.0,123.0
214,676,214,603,26.0,123.0
671,1281,666,1184,25.0,121.0
1020,1792,1002,1637,25.0,121.0
0,3,0,2,26.0,123.0
929,1621,957,1485,25.0,122.0
330,944,300,867,19.0,120.0
2,2,2,2,25.0,120.0
487,1227,487,1133,26.0,120.0
198,1014,196,916,19.0,117.0
122,555,101,501,19.0,117.0
206,610,193,556,26.0,123.0
429,1211,407,1101,26.0,123.0
796,1456,833,1351,25.0,121.0
425,765,425,700,25.0,121.0
499,1067,489,954,25.0,123.0
593,1164,587,1059,25.0,121.0
311,592,309,536,25.0,121.0
143,402,135,375,26.0,120.0
264,902,252,833,19.0,118.0
294,936,282,863,19.0,118.0
36,116,27,100,19.0,119.0
280,1010,255,908,19.0,119.0
50,112,60,113,26.0,116.0
463,932,424,836,26.0,118.0
0,5,0,5,26.0,123.0
576,1190,572,1054,26.0,123.0
207,476,204,449,19.0,118.0
265,476,228,426,19.0,118.0
463,929,434,841,21.0,118.0
111,341,106,315,19.0,118.0
140,434,131,397,26.0,123.0
77,204,68,180,26.0,123.0
369,1102,368,1008,26.0,123.0
186,232,188,236,25.0,19.0
154,307,138,288,1.0,1.0
179,575,165,547,1.0,1.0
170,432,164,420,1.0,1.0
1335,1502,1257,1437,1.0,1.0
1526,1938,1430,1834,1.0,1.0
992,1135,897,1051,1.0,1.0
817,907,751,853,1.0,1.0
45,86,43,77,18.0,43.0
9,15,8,14,8.0,67.0
600,1063,627,1030,8.0,67.0
2354,3081,2437,2958,8.0,89.0
