pre_16_r,pre_16_tot,rrc_16_r,rrc_16_tot,SD,HD
367,436,335,402,28.0,88.0
276,319,247,292,30.0,69.0
481,552,433,522,30.0,69.0
291,309,264,289,30.0,69.0
200,237,176,209,30.0,69.0
287,316,249,290,30.0,69.0
253,290,212,257,30.0,69.0
101,113,99,113,30.0,69.0
129,143,125,141,30.0,69.0
157,162,141,156,30.0,69.0
325,361,299,340,31.0,72.0
261,301,247,288,31.0,72.0
2262,3229,2190,3059,8.0,67.0
128,152,136,153,8.0,67.0
733,990,709,914,8.0,89.0
374,437,359,416,17.0,85.0
697,1312,663,1219,17.0,85.0
574,650,551,630,17.0,85.0
280,318,272,300,17.0,85.0
210,235,201,228,17.0,85.0
283,353,270,335,22.0,68.0
52,53,48,50,28.0,72.0
238,263,228,260,28.0,72.0
54,64,46,57,28.0,72.0
67,86,62,79,28.0,72.0
94,98,91,96,28.0,72.0
262,566,308,536,18.0,28.0
744,1442,729,1367,18.0,28.0
67,1367,62,1356,13.0,27.0
64,1494,56,1458,13.0,27.0
21,624,22,610,13.0,27.0
28,1085,37,1067,13.0,27.0
61,1581,64,1569,13.0,27.0
122,1337,123,1298,13.0,27.0
781,1556,816,1504,13.0,27.0
123,402,131,397,13.0,27.0
265,491,274,477,13.0,27.0
1103,1914,1149,1832,13.0,27.0
89,378,91,367,13.0,27.0
240,1023,245,1001,13.0,27.0
33,847,39,843,13.0,27.0
29,661,28,652,13.0,27.0
6,38,8,37,13.0,27.0
41,194,44,193,13.0,27.0
628,737,577,676,1.0,62.0
439,508,402,473,1.0,62.0
972,1288,901,1216,5.0,13.0
349,443,327,427,5.0,13.0
235,260,223,256,5.0,13.0
657,1997,608,1858,11.0,23.0
1317,2131,1215,2033,11.0,23.0
421,971,358,925,11.0,23.0
464,2007,432,1905,11.0,23.0
62,75,57,69,28.0,83.0
123,134,118,127,24.0,19.0
422,551,426,525,24.0,19.0
364,624,313,548,18.0,30.0
312,609,238,512,18.0,30.0
98,189,83,156,18.0,30.0
427,552,363,503,18.0,30.0
228,265,214,253,18.0,30.0
206,248,178,227,18.0,30.0
234,265,208,246,18.0,30.0
387,438,361,417,18.0,30.0
364,403,327,378,18.0,30.0
328,612,309,533,18.0,44.0
167,199,162,191,18.0,44.0
324,398,296,365,18.0,44.0
221,259,210,247,18.0,44.0
412,577,378,517,18.0,44.0
248,308,228,282,18.0,44.0
1057,1218,992,1153,30.0,62.0
619,708,587,665,30.0,62.0
1255,1641,1195,1573,1.0,7.0
1517,2044,1517,1989,1.0,7.0
251,314,243,303,18.0,12.0
734,907,717,880,18.0,12.0
297,356,284,344,18.0,12.0
549,680,517,641,18.0,12.0
436,1005,427,935,21.0,44.0
2210,3600,2157,3403,25.0,44.0
1399,2297,1391,2164,25.0,44.0
1306,1667,1241,1559,21.0,44.0
514,685,465,623,21.0,44.0
103,120,93,112,31.0,88.0
62,71,57,68,31.0,88.0
516,610,478,573,22.0,59.0
538,610,483,558,22.0,59.0
122,143,118,138,22.0,59.0
122,135,110,125,22.0,59.0
98,103,88,98,22.0,59.0
88,103,77,92,22.0,59.0
63,73,58,70,22.0,59.0
128,136,120,129,22.0,59.0
557,649,524,612,22.0,59.0
740,882,709,843,22.0,59.0
88,95,84,95,22.0,59.0
362,391,341,362,31.0,87.0
172,183,173,176,31.0,87.0
304,328,292,315,31.0,87.0
365,414,336,372,31.0,87.0
69,76,68,73,31.0,87.0
27,28,26,26,31.0,87.0
446,478,396,452,3.0,18.0
640,886,588,817,3.0,18.0
517,595,466,552,3.0,18.0
2470,2727,2300,2575,3.0,18.0
652,702,617,669,3.0,18.0
2617,2925,2430,2785,3.0,18.0
514,589,455,555,3.0,18.0
1283,1603,1221,1537,3.0,18.0
437,910,401,851,3.0,18.0
367,383,343,369,3.0,18.0
453,494,400,453,3.0,18.0
373,390,329,363,3.0,18.0
498,559,466,539,3.0,18.0
1260,1366,1166,1286,3.0,18.0
1345,1442,1276,1367,3.0,18.0
59,64,53,59,28.0,69.0
1157,1675,1141,1584,5.0,20.0
2683,3280,2646,3169,11.0,128.0
28,989,30,973,13.0,147.0
19,1247,17,1232,13.0,147.0
17,687,15,676,13.0,146.0
20,1158,29,1151,13.0,147.0
57,1223,58,1177,13.0,131.0
20,770,11,757,13.0,146.0
40,1307,36,1293,13.0,146.0
31,1047,30,1023,13.0,142.0
251,1338,242,1250,6.0,140.0
1054,1859,1043,1800,11.0,128.0
752,1343,779,1244,11.0,129.0
142,2448,139,2326,13.0,131.0
53,126,52,112,6.0,140.0
23,176,18,165,13.0,141.0
43,1324,36,1294,15.0,139.0
96,288,80,257,6.0,140.0
578,1407,586,1338,6.0,144.0
2,50,1,50,6.0,140.0
271,1093,266,1025,6.0,140.0
108,853,112,806,6.0,140.0
242,790,236,725,6.0,140.0
273,765,255,709,6.0,140.0
326,1155,297,1023,6.0,140.0
90,390,92,351,6.0,140.0
66,217,65,195,6.0,140.0
12,158,13,148,6.0,145.0
88,918,102,856,13.0,147.0
33,887,32,854,13.0,147.0
17,789,18,772,13.0,147.0
594,2103,724,1847,15.0,134.0
327,769,390,650,15.0,134.0
1012,2094,1059,1955,17.0,133.0
3,4,4,4,13.0,134.0
383,2069,511,1855,13.0,146.0
544,838,545,795,11.0,129.0
682,1015,691,974,11.0,129.0
799,1231,812,1149,11.0,129.0
366,1909,482,1761,13.0,146.0
75,362,74,335,6.0,145.0
673,2378,856,2079,15.0,147.0
683,2082,857,1804,15.0,147.0
31,1329,36,1317,15.0,139.0
5,7,4,7,15.0,139.0
164,1438,159,1359,15.0,140.0
43,1200,36,1179,15.0,139.0
74,1436,76,1381,15.0,139.0
540,688,523,652,1.0,7.0
983,1449,934,1367,1.0,7.0
79,1066,80,1003,1.0,7.0
437,1041,413,969,1.0,7.0
176,303,165,281,1.0,7.0
365,1060,344,1020,1.0,7.0
1623,1948,1566,1883,1.0,7.0
1253,1674,1245,1634,1.0,7.0
1212,1542,1153,1477,1.0,7.0
765,947,717,892,1.0,7.0
348,500,321,472,1.0,7.0
425,580,406,555,1.0,7.0
2617,2989,2546,2892,1.0,7.0
824,921,818,904,1.0,7.0
634,693,605,667,1.0,7.0
293,355,278,344,1.0,7.0
1884,2179,1835,2103,1.0,7.0
318,337,312,332,1.0,7.0
319,374,289,357,1.0,7.0
143,156,143,157,31.0,86.0
183,201,164,189,31.0,86.0
310,346,301,334,31.0,86.0
119,130,113,125,31.0,86.0
534,574,499,548,31.0,86.0
73,86,70,86,28.0,69.0
604,2020,622,1844,21.0,45.0
486,959,460,891,21.0,45.0
583,2186,604,1973,21.0,45.0
1074,1765,1075,1638,21.0,45.0
313,615,305,568,21.0,45.0
390,1310,411,1195,21.0,45.0
290,654,282,576,21.0,45.0
229,756,242,665,21.0,45.0
151,638,146,561,21.0,45.0
92,382,108,348,21.0,45.0
1249,2630,1238,2462,21.0,45.0
974,2360,952,2212,21.0,45.0
262,761,240,715,21.0,45.0
566,1017,561,969,21.0,45.0
957,1757,968,1670,25.0,45.0
2164,3923,2196,3693,25.0,45.0
15,30,19,28,25.0,45.0
898,1714,910,1589,25.0,45.0
1242,2061,1205,1903,25.0,73.0
1228,1882,1210,1771,25.0,73.0
246,272,225,249,31.0,88.0
390,434,341,372,31.0,88.0
36,36,35,35,31.0,88.0
77,87,70,77,31.0,88.0
212,764,203,734,3.0,4.0
920,1092,895,1061,3.0,8.0
871,1023,805,964,3.0,4.0
1347,1614,1283,1558,3.0,4.0
1344,1537,1272,1470,3.0,8.0
737,939,714,912,3.0,4.0
702,825,674,798,3.0,8.0
399,486,392,486,3.0,8.0
319,1405,254,1218,20.0,40.0
247,769,201,668,27.0,39.0
747,1972,673,1738,20.0,40.0
139,347,141,317,20.0,41.0
214,636,202,562,20.0,41.0
903,2453,863,2164,20.0,41.0
342,1189,312,1067,20.0,41.0
12,26,9,20,27.0,41.0
0,2,0,2,20.0,41.0
2,6,0,4,20.0,41.0
925,1840,897,1679,20.0,41.0
644,1266,613,1144,20.0,41.0
133,857,132,752,27.0,39.0
382,934,364,834,20.0,41.0
386,1485,318,1296,20.0,40.0
3,6,3,5,20.0,40.0
5,16,3,14,27.0,39.0
166,305,146,277,20.0,41.0
5,32,5,29,20.0,41.0
561,1534,501,1360,20.0,36.0
269,1070,232,958,20.0,36.0
645,1505,571,1355,20.0,36.0
639,1742,555,1513,20.0,41.0
312,1314,282,1111,20.0,40.0
329,1187,278,1009,20.0,41.0
181,1032,131,889,20.0,40.0
43,64,35,55,20.0,35.0
95,538,83,482,27.0,39.0
32,178,27,167,20.0,41.0
275,1044,214,867,27.0,39.0
334,732,320,682,20.0,41.0
216,949,183,814,20.0,40.0
303,350,283,330,22.0,13.0
999,1328,970,1256,22.0,13.0
437,571,414,527,22.0,13.0
216,251,197,232,22.0,13.0
288,594,281,559,22.0,13.0
318,369,275,340,22.0,13.0
178,211,166,197,22.0,13.0
207,274,192,252,22.0,13.0
360,433,331,411,22.0,13.0
198,241,180,223,22.0,13.0
198,234,179,217,22.0,13.0
95,105,92,100,22.0,13.0
558,713,528,684,22.0,13.0
1055,1210,994,1142,28.0,88.0
692,863,658,828,28.0,88.0
170,189,158,178,28.0,88.0
454,515,429,494,22.0,59.0
1524,1765,1454,1686,22.0,59.0
581,659,550,626,1.0,2.0
305,354,294,332,1.0,2.0
604,714,539,652,1.0,2.0
280,324,259,308,1.0,2.0
384,453,353,423,1.0,2.0
513,593,481,566,1.0,2.0
521,593,486,557,1.0,2.0
479,715,446,672,3.0,9.0
288,330,267,314,3.0,9.0
155,172,146,162,3.0,9.0
504,667,491,651,3.0,9.0
587,683,559,654,3.0,9.0
131,168,133,171,3.0,9.0
571,626,521,582,3.0,9.0
73,87,67,80,3.0,9.0
170,183,164,179,3.0,9.0
160,204,155,197,3.0,9.0
119,139,112,131,31.0,72.0
240,465,212,425,31.0,72.0
104,200,91,182,31.0,72.0
83,162,73,146,31.0,72.0
318,373,281,344,31.0,72.0
279,387,259,365,31.0,72.0
577,749,533,695,31.0,72.0
35,67,29,58,31.0,72.0
236,318,218,298,31.0,72.0
21,41,18,37,31.0,72.0
199,252,193,239,31.0,72.0
546,692,528,655,31.0,72.0
776,834,729,790,31.0,72.0
326,403,316,386,31.0,72.0
126,166,118,155,31.0,72.0
249,347,231,322,31.0,72.0
63,71,59,66,31.0,72.0
0,0,0,0,31.0,72.0
507,563,482,536,31.0,72.0
84,89,73,85,31.0,72.0
274,299,255,279,31.0,72.0
38,40,30,34,31.0,72.0
342,379,320,352,31.0,72.0
145,164,127,150,31.0,72.0
187,270,151,207,29.0,74.0
479,622,450,586,8.0,2.0
525,581,484,535,8.0,2.0
943,1153,916,1077,8.0,2.0
1516,1764,1383,1630,8.0,2.0
1407,1675,1352,1587,8.0,2.0
843,985,803,923,8.0,2.0
1087,1292,1030,1201,8.0,2.0
414,465,378,426,8.0,2.0
987,1190,901,1091,8.0,2.0
748,850,693,781,8.0,2.0
1396,1639,1313,1528,8.0,2.0
764,1334,725,1228,8.0,2.0
204,251,181,233,8.0,2.0
581,640,569,632,30.0,68.0
639,714,597,678,30.0,68.0
122,141,118,133,30.0,68.0
681,767,649,741,30.0,68.0
519,567,492,551,30.0,68.0
431,458,402,427,30.0,68.0
817,1101,737,1027,17.0,30.0
17,22,16,21,3.0,21.0
1031,1281,1006,1237,3.0,21.0
392,431,370,412,3.0,21.0
368,443,361,423,3.0,21.0
229,400,226,387,3.0,21.0
281,325,262,317,3.0,21.0
250,280,232,263,3.0,21.0
1037,1150,978,1107,3.0,21.0
818,884,763,850,3.0,21.0
1356,1525,1272,1470,3.0,21.0
937,1027,881,993,3.0,21.0
257,329,251,322,3.0,21.0
66,104,65,95,29.0,74.0
195,344,179,307,29.0,74.0
101,147,94,139,29.0,74.0
133,232,109,189,29.0,74.0
488,1361,468,1330,3.0,22.0
57,284,51,272,4.0,22.0
1121,1413,1043,1349,3.0,22.0
580,987,542,947,3.0,22.0
176,375,160,361,4.0,22.0
198,705,191,687,4.0,22.0
78,486,69,476,3.0,22.0
143,229,149,232,3.0,21.0
1557,1919,1375,1794,3.0,22.0
403,747,392,725,3.0,21.0
1175,1632,1157,1573,3.0,21.0
980,1280,945,1210,3.0,21.0
1046,1745,1041,1675,3.0,21.0
1009,1397,972,1304,3.0,21.0
117,385,112,379,3.0,22.0
33,1038,29,1040,4.0,22.0
57,1082,56,1066,3.0,22.0
91,989,83,975,3.0,22.0
112,583,105,577,3.0,22.0
26,738,30,727,3.0,22.0
2025,2533,2006,2444,10.0,58.0
1431,1736,1400,1673,10.0,58.0
3109,3939,3046,3826,10.0,58.0
2068,2524,2042,2463,10.0,58.0
1973,2376,1930,2295,10.0,58.0
1197,1384,1128,1317,10.0,58.0
757,869,738,840,10.0,58.0
203,281,181,256,28.0,71.0
161,178,149,171,28.0,71.0
753,989,661,898,28.0,71.0
568,634,531,590,28.0,71.0
693,770,633,729,28.0,71.0
267,361,237,341,21.0,31.0
402,660,338,587,21.0,31.0
27,45,27,39,21.0,31.0
257,330,230,306,21.0,31.0
400,587,368,555,21.0,31.0
18,23,15,20,21.0,31.0
1239,1717,1147,1601,1.0,1.0
897,1033,805,959,1.0,1.0
171,202,158,195,1.0,1.0
406,449,363,414,1.0,1.0
179,529,162,504,1.0,1.0
807,1077,795,1043,24.0,68.0
841,1058,816,1014,24.0,68.0
818,1003,803,970,24.0,68.0
618,731,591,696,24.0,68.0
317,350,300,329,24.0,68.0
299,569,239,498,21.0,31.0
96,232,60,144,21.0,31.0
892,1041,843,989,18.0,30.0
109,159,106,151,18.0,30.0
706,962,638,891,18.0,17.0
480,559,458,538,5.0,13.0
690,762,680,750,5.0,13.0
375,405,365,395,5.0,13.0
485,567,461,539,5.0,13.0
376,512,365,488,5.0,13.0
272,340,254,329,3.0,18.0
16,21,14,21,21.0,31.0
895,1195,844,1139,28.0,83.0
270,397,243,361,28.0,53.0
722,838,669,783,28.0,53.0
95,110,85,100,28.0,53.0
58,60,49,53,21.0,31.0
47,48,40,44,21.0,31.0
603,945,582,926,5.0,12.0
238,348,225,341,1.0,7.0
160,237,144,218,1.0,7.0
240,335,217,301,31.0,82.0
484,581,456,546,28.0,53.0
57,452,55,355,19.0,74.0
1199,1643,1168,1553,24.0,53.0
117,165,107,149,28.0,53.0
238,407,224,371,31.0,82.0
2838,3141,2640,2908,31.0,82.0
1185,1441,1114,1337,31.0,82.0
353,434,342,409,31.0,82.0
263,896,268,814,31.0,82.0
119,203,110,182,31.0,82.0
1108,1242,1065,1171,31.0,82.0
617,1755,606,1630,31.0,82.0
633,977,572,900,5.0,17.0
248,316,239,310,5.0,17.0
125,133,112,123,28.0,68.0
25,32,23,29,28.0,68.0
160,180,146,164,28.0,68.0
89,98,81,89,28.0,68.0
483,571,449,536,31.0,83.0
217,259,189,234,31.0,83.0
433,535,399,500,31.0,83.0
214,271,184,237,31.0,83.0
169,177,151,162,31.0,83.0
298,318,267,291,30.0,68.0
1331,1500,1246,1410,30.0,68.0
278,307,244,278,30.0,68.0
857,985,843,962,3.0,11.0
713,1057,674,979,20.0,34.0
1828,2475,1729,2272,20.0,34.0
656,999,603,915,20.0,34.0
417,667,394,616,20.0,34.0
136,160,119,151,3.0,21.0
782,888,713,836,3.0,21.0
487,655,442,618,3.0,21.0
733,851,718,833,30.0,60.0
1500,1765,1476,1720,30.0,60.0
1025,1238,994,1200,30.0,60.0
698,820,667,782,10.0,60.0
748,956,720,917,10.0,60.0
508,585,496,568,10.0,60.0
1665,1926,1630,1876,10.0,60.0
397,433,384,421,30.0,60.0
645,746,627,726,10.0,60.0
702,1070,560,913,29.0,53.0
502,970,405,800,29.0,53.0
88,180,62,119,29.0,74.0
2721,3067,2602,2928,31.0,86.0
72,76,70,76,31.0,88.0
468,506,453,488,3.0,11.0
534,670,528,666,3.0,11.0
1213,1850,1294,1792,12.0,98.0
136,247,127,238,9.0,99.0
1134,1699,1259,1647,9.0,99.0
410,683,398,640,9.0,99.0
370,609,323,528,28.0,83.0
2630,4770,2906,4513,25.0,47.0
891,1701,1023,1603,25.0,47.0
1167,2626,1304,2395,14.0,47.0
1044,2627,1200,2412,14.0,48.0
400,1073,489,998,14.0,48.0
747,1962,877,1765,14.0,48.0
236,605,284,559,14.0,47.0
2171,3206,2300,3069,25.0,19.0
1799,3401,1852,3136,25.0,47.0
501,807,426,713,19.0,80.0
203,261,199,248,18.0,30.0
1022,1507,978,1430,5.0,12.0
601,1274,616,1211,5.0,12.0
623,1594,559,1502,17.0,85.0
702,1258,638,1166,17.0,85.0
537,746,484,682,17.0,85.0
667,1076,589,959,21.0,31.0
868,1328,816,1211,21.0,31.0
1056,1195,986,1119,21.0,31.0
1154,1580,1061,1435,21.0,31.0
1512,1844,1489,1812,1.0,5.0
1470,1748,1428,1711,1.0,5.0
395,426,375,413,1.0,5.0
456,510,441,497,1.0,5.0
634,724,621,703,1.0,5.0
498,586,453,540,31.0,88.0
165,238,153,207,31.0,88.0
503,593,474,561,31.0,88.0
296,359,252,319,31.0,88.0
113,169,102,144,31.0,88.0
2063,2276,2009,2216,30.0,68.0
135,146,140,150,30.0,68.0
20,59,12,51,21.0,31.0
75,381,55,317,19.0,80.0
67,304,41,248,19.0,80.0
192,545,155,434,19.0,80.0
175,939,111,789,19.0,80.0
111,848,73,712,19.0,80.0
550,790,480,718,5.0,17.0
1651,2721,1755,2595,5.0,14.0
2212,3019,2289,2876,5.0,14.0
1328,1765,1287,1677,22.0,10.0
29,1446,34,1430,13.0,146.0
0,0,0,0,13.0,145.0
31,801,29,775,13.0,142.0
204,268,182,242,8.0,2.0
223,246,223,244,31.0,72.0
27,29,19,20,28.0,69.0
41,41,36,36,28.0,69.0
349,449,320,415,28.0,88.0
377,403,348,378,18.0,17.0
11,13,4,7,31.0,81.0
294,326,271,302,28.0,83.0
49,52,45,47,28.0,83.0
339,397,301,355,31.0,82.0
984,1181,971,1128,31.0,82.0
546,611,514,574,31.0,82.0
1219,1562,1183,1492,31.0,82.0
1336,1831,1269,1711,31.0,82.0
211,358,201,326,31.0,82.0
89,145,78,127,31.0,82.0
1151,1582,1064,1438,31.0,82.0
1708,1916,1632,1796,31.0,82.0
1206,1497,1159,1397,31.0,82.0
575,836,542,778,31.0,82.0
1320,1662,1299,1573,31.0,82.0
1440,1748,1403,1642,31.0,82.0
685,754,659,715,31.0,82.0
571,839,571,809,3.0,11.0
226,292,225,282,3.0,11.0
58,162,61,156,3.0,11.0
865,1809,889,1694,3.0,11.0
50,632,59,616,3.0,11.0
144,301,149,284,3.0,11.0
197,294,176,268,10.0,60.0
1105,1284,1063,1254,1.0,11.0
1175,1421,1143,1388,1.0,11.0
694,868,668,840,1.0,11.0
375,666,365,651,1.0,11.0
114,220,108,213,1.0,11.0
796,1175,742,1114,3.0,9.0
258,304,248,291,31.0,72.0
504,547,471,515,1.0,11.0
1005,1341,958,1285,1.0,11.0
973,1495,1042,1462,12.0,98.0
209,316,168,252,31.0,53.0
246,290,207,250,31.0,53.0
58,69,50,60,31.0,53.0
415,511,382,481,31.0,81.0
394,485,361,444,31.0,81.0
127,173,119,161,31.0,81.0
118,214,103,183,31.0,88.0
1941,2899,2013,2823,3.0,11.0
897,1581,813,1406,5.0,17.0
1012,1629,894,1511,5.0,17.0
470,643,438,600,5.0,17.0
691,1422,615,1285,5.0,17.0
543,2139,594,2077,11.0,25.0
230,955,258,920,11.0,25.0
643,1364,589,1254,5.0,17.0
152,222,125,201,24.0,80.0
550,1216,610,1183,11.0,29.0
233,263,234,263,1.0,5.0
0,0,0,0,6.0,144.0
0,5,0,5,6.0,145.0
0,0,0,0,13.0,145.0
17,294,14,278,6.0,140.0
31,102,47,98,15.0,134.0
0,1,0,1,15.0,134.0
92,363,108,334,15.0,134.0
908,1902,861,1756,5.0,17.0
394,433,385,427,1.0,5.0
1325,2195,1447,2155,30.0,106.0
0,0,0,0,6.0,140.0
6,363,5,351,13.0,146.0
37,579,35,566,15.0,139.0
0,1,0,1,7.0,138.0
4,6,5,6,12.0,103.0
10,33,9,28,12.0,103.0
3,10,2,8,12.0,103.0
14,34,16,34,12.0,103.0
172,526,176,477,12.0,103.0
569,710,565,667,8.0,66.0
966,2157,1107,2078,12.0,115.0
333,842,349,770,26.0,124.0
361,617,408,569,12.0,108.0
12,19,12,18,16.0,110.0
264,957,246,893,16.0,110.0
0,1,0,1,16.0,110.0
1,2,1,2,16.0,110.0
106,301,98,277,16.0,110.0
2,12,2,9,16.0,110.0
1,5,1,3,16.0,110.0
106,184,98,177,16.0,110.0
0,3,0,2,16.0,110.0
47,51,43,48,23.0,110.0
1,28,2,27,23.0,110.0
439,893,476,801,12.0,108.0
265,776,264,718,2.0,113.0
1409,1948,1396,1831,2.0,112.0
42,209,40,195,23.0,109.0
12,70,12,66,23.0,111.0
49,517,45,405,23.0,104.0
128,1958,134,1900,23.0,111.0
7,17,8,17,23.0,109.0
7,8,8,8,23.0,109.0
354,1727,362,1646,23.0,111.0
0,0,0,0,23.0,111.0
0,0,0,0,23.0,111.0
9,27,9,27,23.0,104.0
223,658,208,614,23.0,104.0
710,1982,704,1863,23.0,111.0
256,1794,278,1755,23.0,109.0
234,1266,168,1007,21.0,42.0
201,236,198,225,31.0,82.0
218,274,201,254,31.0,82.0
2360,2601,2283,2445,31.0,82.0
336,754,388,736,8.0,70.0
22,133,20,115,16.0,104.0
396,889,356,812,16.0,107.0
346,889,357,824,2.0,113.0
487,821,478,762,2.0,112.0
78,242,74,205,12.0,103.0
67,317,72,268,12.0,103.0
282,1206,284,1059,14.0,50.0
633,1037,650,968,8.0,89.0
3,5,3,5,28.0,84.0
156,394,144,349,28.0,84.0
1057,1587,1079,1495,28.0,84.0
1596,1881,1537,1808,28.0,83.0
1422,1639,1386,1582,28.0,83.0
563,662,561,642,28.0,84.0
1795,2164,1796,2075,28.0,83.0
438,503,438,487,28.0,84.0
673,1019,702,967,28.0,84.0
120,138,111,126,28.0,84.0
22,510,23,490,23.0,110.0
801,1870,803,1748,23.0,111.0
124,315,120,298,23.0,109.0
0,3,0,3,23.0,109.0
238,725,228,651,2.0,113.0
160,439,167,416,12.0,103.0
12,29,13,28,12.0,103.0
232,876,251,746,12.0,103.0
745,1395,785,1275,12.0,103.0
8,171,7,163,23.0,100.0
462,1070,424,972,16.0,113.0
630,1818,653,1691,16.0,105.0
73,79,69,72,5.0,14.0
111,141,108,134,5.0,14.0
31,41,34,41,5.0,14.0
103,113,99,111,5.0,14.0
0,1,0,0,5.0,12.0
1624,2312,1771,2288,5.0,14.0
79,95,77,89,5.0,14.0
237,367,244,351,5.0,14.0
904,1101,864,1037,5.0,14.0
79,96,78,94,5.0,14.0
1124,1444,1129,1389,28.0,83.0
981,1230,979,1178,28.0,83.0
1134,1589,1089,1496,28.0,83.0
536,634,514,605,22.0,13.0
421,484,386,457,22.0,13.0
400,513,378,491,22.0,13.0
293,330,266,311,22.0,13.0
462,569,424,527,22.0,13.0
1188,1420,1130,1364,22.0,13.0
798,980,753,933,22.0,13.0
610,744,592,723,22.0,13.0
678,824,627,779,1.0,1.0
219,462,196,437,1.0,1.0
1448,2075,1396,1966,11.0,29.0
1847,2466,1766,2344,11.0,29.0
2066,2657,1986,2505,11.0,29.0
853,1215,802,1156,17.0,25.0
710,899,646,838,17.0,25.0
826,973,797,940,17.0,29.0
900,1182,876,1113,11.0,29.0
1450,1807,1391,1736,11.0,29.0
485,973,419,880,17.0,25.0
362,1009,336,944,17.0,25.0
535,649,500,618,17.0,29.0
555,1232,517,1152,17.0,25.0
368,470,352,434,17.0,25.0
1870,2437,1805,2349,11.0,29.0
1256,1980,1266,1883,11.0,29.0
1199,2074,1200,1964,11.0,29.0
2492,3452,2514,3329,11.0,29.0
1715,2643,1726,2554,11.0,29.0
513,859,589,854,5.0,14.0
412,860,451,804,5.0,14.0
675,1436,769,1369,5.0,14.0
1186,2368,1373,2272,5.0,14.0
248,616,289,563,5.0,14.0
202,230,184,217,31.0,88.0
149,165,141,159,31.0,88.0
36,223,24,177,20.0,31.0
26,64,18,55,20.0,31.0
178,189,171,183,10.0,68.0
1344,1467,1265,1405,10.0,68.0
1091,1215,1045,1170,10.0,68.0
290,361,282,342,24.0,19.0
986,1347,973,1279,24.0,19.0
369,443,357,431,24.0,19.0
256,294,250,286,24.0,19.0
272,325,251,304,24.0,19.0
44,68,40,65,21.0,17.0
168,200,157,187,21.0,17.0
99,189,82,163,21.0,17.0
126,265,115,238,21.0,17.0
138,235,128,210,18.0,43.0
118,148,109,140,18.0,43.0
75,100,64,88,18.0,43.0
670,791,584,725,18.0,43.0
165,317,138,285,18.0,43.0
180,243,157,231,18.0,43.0
269,415,238,372,18.0,43.0
179,412,141,372,18.0,43.0
56,189,43,161,18.0,43.0
136,942,129,736,27.0,38.0
215,1350,167,1020,27.0,38.0
109,373,91,300,27.0,38.0
182,876,157,702,27.0,38.0
194,488,170,390,27.0,37.0
202,637,182,530,27.0,35.0
185,1202,170,970,27.0,38.0
300,1040,214,825,27.0,35.0
237,714,197,592,27.0,35.0
260,971,209,806,27.0,35.0
966,1643,908,1468,27.0,37.0
601,1336,553,1179,27.0,37.0
1287,2248,1189,1990,27.0,37.0
316,580,289,514,27.0,37.0
59,149,49,128,27.0,37.0
102,254,75,204,27.0,37.0
498,1076,447,929,27.0,37.0
362,652,336,574,27.0,37.0
124,476,105,417,27.0,37.0
93,425,78,351,27.0,37.0
394,1591,323,1342,27.0,37.0
237,1481,213,1191,27.0,38.0
378,1554,346,1276,27.0,38.0
288,1018,283,832,27.0,38.0
116,520,99,400,27.0,38.0
105,307,101,268,27.0,38.0
474,1844,423,1516,27.0,38.0
1922,2145,1880,2087,4.0,23.0
340,368,307,336,31.0,72.0
1816,2247,1737,2132,25.0,73.0
149,175,138,166,28.0,72.0
697,789,647,757,24.0,59.0
617,1093,620,1051,24.0,59.0
163,205,161,199,24.0,59.0
1079,1304,1001,1211,24.0,59.0
1117,1318,1060,1242,24.0,59.0
1808,2091,1679,1984,24.0,59.0
489,888,489,855,24.0,59.0
339,416,328,406,24.0,59.0
351,385,332,367,24.0,59.0
1762,2851,1752,2758,24.0,59.0
24,25,25,28,28.0,69.0
151,172,127,158,28.0,69.0
74,109,66,96,28.0,69.0
166,184,145,169,28.0,69.0
95,112,77,98,28.0,69.0
213,280,193,248,31.0,53.0
355,486,321,465,28.0,83.0
213,320,212,318,28.0,83.0
361,485,335,465,28.0,83.0
99,207,82,175,29.0,74.0
48,143,42,116,29.0,74.0
67,196,49,140,29.0,74.0
11,11,9,9,31.0,86.0
611,1382,710,1309,16.0,108.0
607,1091,715,1029,16.0,108.0
261,941,286,867,23.0,100.0
541,1724,583,1572,23.0,100.0
44,323,41,298,16.0,114.0
44,379,41,371,23.0,111.0
1123,2150,1105,1969,16.0,105.0
667,1519,660,1384,16.0,105.0
310,885,302,787,16.0,105.0
701,1509,715,1379,16.0,105.0
211,708,208,669,23.0,109.0
108,314,106,299,23.0,109.0
126,405,116,393,23.0,109.0
111,1372,111,1333,23.0,109.0
58,543,62,536,23.0,109.0
316,1011,304,875,16.0,107.0
395,1091,395,959,16.0,114.0
33,114,31,108,23.0,109.0
862,1611,876,1490,16.0,105.0
611,1078,695,983,12.0,108.0
335,943,355,838,23.0,114.0
463,948,455,885,16.0,105.0
97,307,105,283,16.0,105.0
208,640,196,584,16.0,105.0
127,282,118,254,16.0,105.0
0,0,0,0,12.0,115.0
1135,2280,1119,2149,2.0,113.0
248,376,270,342,12.0,108.0
1556,2557,1779,2392,16.0,108.0
706,1460,752,1324,2.0,112.0
263,518,306,475,16.0,108.0
2080,3184,2176,3017,2.0,112.0
999,2984,998,2803,16.0,113.0
754,1318,717,1241,16.0,113.0
1149,1908,1261,1778,12.0,108.0
